Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Zell ZH;8487;00;Zell (ZH);231;ZH;2705011.013;1256594.147;de;2008-07-01
Rämismühle;8487;01;Zell (ZH);231;ZH;2704079.297;1255309.658;de;2008-07-01
Aesch ZH;8904;00;Aesch (ZH);241;ZH;2675340.496;1243213.576;de;2008-07-01
Uitikon Waldegg;8142;00;Birmensdorf (ZH);242;ZH;2677564.355;1245508.236;de;2008-07-01
Birmensdorf ZH;8903;00;Birmensdorf (ZH);242;ZH;2675627.758;1245049.422;de;2008-07-01
Dietikon;8953;00;Dietikon;243;ZH;2672431.537;1250356.172;de;2008-07-01
Fahrweid;8951;00;Geroldswil;244;ZH;2673315.209;1252023.168;de;2008-07-01
Geroldswil;8954;00;Geroldswil;244;ZH;2673528.422;1252912.038;de;2008-07-01
Oberengstringen;8102;00;Oberengstringen;245;ZH;2677464.541;1251673.746;de;2008-07-01
Oetwil an der Limmat;8955;00;Oetwil an der Limmat;246;ZH;2671995.048;1253625.597;de;2008-07-01
Urdorf;8902;00;Schlieren;247;ZH;2675235.228;1249346.671;de;2008-07-01
Schlieren;8952;00;Schlieren;247;ZH;2676325.984;1249754.997;de;2008-07-01
Uitikon Waldegg;8142;00;Uitikon;248;ZH;2676760.794;1246702.789;de;2008-07-01
Uetliberg;8143;02;Uitikon;248;ZH;2679130.875;1245273.134;de;2008-07-01
Unterengstringen;8103;00;Unterengstringen;249;ZH;2675911.043;1251644.813;de;2008-07-01
Fahrweid;8951;00;Unterengstringen;249;ZH;2673671.650;1250842.461;de;2008-07-01
Urdorf;8902;00;Urdorf;250;ZH;2674398.770;1248389.929;de;2008-07-01
Weiningen ZH;8104;00;Weiningen (ZH);251;ZH;2675346.471;1252791.745;de;2008-07-01
Fahrweid;8951;00;Weiningen (ZH);251;ZH;2673703.010;1251213.881;de;2008-07-01
Zürich;8001;00;Zürich;261;ZH;2683284.990;1247484.366;de;2008-07-01
Zürich;8002;00;Zürich;261;ZH;2682544.490;1246055.018;de;2008-07-01
Zürich;8003;00;Zürich;261;ZH;2681380.488;1247418.389;de;2008-07-01
Zürich;8004;00;Zürich;261;ZH;2681918.040;1248028.525;de;2008-07-01
Zürich;8005;00;Zürich;261;ZH;2681701.755;1249000.387;de;2008-07-01
Zürich;8006;00;Zürich;261;ZH;2683401.384;1248912.802;de;2008-07-01
Zürich;8008;00;Zürich;261;ZH;2684918.174;1245651.868;de;2008-07-01
Zürich;8032;00;Zürich;261;ZH;2685037.286;1246814.830;de;2008-07-01
Zürich;8037;00;Zürich;261;ZH;2681953.835;1250308.007;de;2008-07-01
Zürich;8038;00;Zürich;261;ZH;2682589.771;1243834.564;de;2008-07-01
Zürich;8041;00;Zürich;261;ZH;2681400.131;1243358.047;de;2008-07-01
Zürich;8044;00;Zürich;261;ZH;2685649.038;1248349.892;de;2008-07-01
Zürich;8045;00;Zürich;261;ZH;2680624.191;1245077.092;de;2008-07-01
Zürich;8046;00;Zürich;261;ZH;2680711.467;1252924.289;de;2008-07-01
Zürich;8047;00;Zürich;261;ZH;2679179.333;1247534.652;de;2008-07-01
Zürich;8048;00;Zürich;261;ZH;2678922.355;1248960.545;de;2008-07-01
Zürich;8049;00;Zürich;261;ZH;2680142.327;1251417.780;de;2008-07-01
Zürich;8050;00;Zürich;261;ZH;2683936.018;1251830.560;de;2008-07-01
Zürich;8051;00;Zürich;261;ZH;2686070.185;1250494.944;de;2008-07-01
Zürich;8052;00;Zürich;261;ZH;2683149.824;1253212.307;de;2008-07-01
Zürich;8053;00;Zürich;261;ZH;2687537.085;1246250.877;de;2008-07-01
Zürich;8055;00;Zürich;261;ZH;2679440.756;1246459.197;de;2008-07-01
Zürich;8057;00;Zürich;261;ZH;2683697.597;1250491.502;de;2008-07-01
Zürich;8064;00;Zürich;261;ZH;2679008.597;1250286.081;de;2008-07-01
Zollikerberg;8125;00;Zürich;261;ZH;2687918.791;1245124.398;de;2008-07-01
Adliswil;8134;00;Zürich;261;ZH;2682446.254;1242376.564;de;2008-07-01
Uitikon Waldegg;8142;00;Zürich;261;ZH;2677826.608;1246557.743;de;2008-07-01
Uetliberg;8143;02;Zürich;261;ZH;2679593.696;1244844.943;de;2008-07-01
Glattbrugg;8152;00;Zürich;261;ZH;2684131.612;1253847.282;de;2008-07-01
Schlieren;8952;00;Zürich;261;ZH;2677685.580;1250547.672;de;2008-07-01
Andelfingen;8450;00;Andelfingen;291;ZH;2693014.097;1272291.235;de;2008-07-01
Adlikon b. Andelfingen;8452;00;Andelfingen;291;ZH;2695275.395;1270341.424;de;2008-07-01
Humlikon;8457;00;Andelfingen;291;ZH;2693092.631;1270083.751;de;2008-07-01
Waltalingen;8468;00;Stammheim;292;ZH;2699856.455;1275307.034;de;2008-07-01
Guntalingen;8468;02;Stammheim;292;ZH;2699278.672;1276917.404;de;2008-07-01
Unterstammheim;8476;00;Stammheim;292;ZH;2701514.012;1278317.191;de;2008-07-01
Oberstammheim;8477;00;Stammheim;292;ZH;2702683.527;1276201.362;de;2008-07-01
Wilen b. Neunforn;8525;02;Stammheim;292;ZH;2702028.642;1273441.067;de;2008-07-01
Au ZH;8804;00;Wädenswil;293;ZH;2691327.106;1233258.022;de;2008-07-01
Wädenswil;8820;00;Wädenswil;293;ZH;2692127.672;1230678.717;de;2008-07-01
Schönenberg ZH;8824;00;Wädenswil;293;ZH;2691095.988;1227540.259;de;2008-07-01
Hütten;8825;00;Wädenswil;293;ZH;2692497.618;1225448.667;de;2008-07-01
Elgg;8353;00;Elgg;294;ZH;2707160.819;1260966.665;de;2008-07-01
Hofstetten ZH;8354;00;Elgg;294;ZH;2706965.434;1258640.433;de;2008-07-01
Dickbuch;8354;01;Elgg;294;ZH;2705032.367;1261566.141;de;2018-01-01
Aadorf;8355;00;Elgg;294;ZH;2709537.593;1261147.357;de;2008-07-01
Hagenbuch ZH;8523;00;Elgg;294;ZH;2709392.549;1262192.826;de;2008-07-01
Sihlbrugg;6340;04;Horgen;295;ZH;2685853.122;1232031.912;de;2008-07-01
Langnau am Albis;8135;00;Horgen;295;ZH;2684450.449;1234448.618;de;2008-07-01
Sihlbrugg Station;8135;02;Horgen;295;ZH;2685907.358;1233113.742;de;2008-07-01
Sihlwald;8135;03;Horgen;295;ZH;2684625.126;1235887.306;de;2008-07-01
Horgen;8810;00;Horgen;295;ZH;2688874.382;1233492.209;de;2008-07-01
Horgenberg;8815;00;Horgen;295;ZH;2686709.973;1233547.643;de;2008-07-01
Hirzel;8816;00;Horgen;295;ZH;2688114.581;1230587.699;de;2008-07-01
Effretikon;8307;00;Illnau-Effretikon;296;ZH;2694570.056;1253429.165;de;2008-07-01
Ottikon b. Kemptthal;8307;02;Illnau-Effretikon;296;ZH;2697086.790;1254037.818;de;2008-07-01
Illnau;8308;00;Illnau-Effretikon;296;ZH;2697146.535;1251691.708;de;2008-07-01
Agasul;8308;02;Illnau-Effretikon;296;ZH;2698213.384;1253607.401;de;2008-07-01
Kyburg;8314;00;Illnau-Effretikon;296;ZH;2698252.683;1256539.684;de;2008-07-01
Sennhof (Winterthur);8482;00;Illnau-Effretikon;296;ZH;2699140.736;1258098.480;de;2008-07-01
Kollbrunn;8483;00;Illnau-Effretikon;296;ZH;2700080.514;1256393.531;de;2008-07-01
Saland;8493;00;Bauma;297;ZH;2707508.746;1249664.971;de;2008-07-01
Bauma;8494;00;Bauma;297;ZH;2709762.491;1247181.045;de;2008-07-01
Sternenberg;8499;00;Bauma;297;ZH;2711110.405;1249823.074;de;2008-07-01
Wiesendangen;8542;00;Wiesendangen;298;ZH;2701623.604;1264421.811;de;2008-07-01
Bertschikon;8543;00;Wiesendangen;298;ZH;2704759.661;1264841.100;de;2008-07-01
Gundetswil;8543;01;Wiesendangen;298;ZH;2704144.444;1266297.574;de;2008-07-01
Kefikon ZH;8543;02;Wiesendangen;298;ZH;2704608.725;1267308.884;de;2008-07-01
Attikon;8544;00;Wiesendangen;298;ZH;2702537.749;1266055.320;de;2008-07-01
Menzengrüt;8546;03;Wiesendangen;298;ZH;2703781.276;1267372.185;de;2008-07-01
Lyss;3250;00;Aarberg;301;BE;2590027.931;1211507.010;de;2008-07-01
Seedorf BE;3267;00;Aarberg;301;BE;2589156.348;1209797.770;de;2008-07-01
Aarberg;3270;00;Aarberg;301;BE;2588188.574;1210368.507;de;2008-07-01
Kappelen;3273;00;Aarberg;301;BE;2587458.555;1211752.145;de;2008-07-01
Bargen BE;3282;00;Bargen (BE);302;BE;2585685.344;1209373.344;de;2008-07-01
Kallnach;3283;00;Bargen (BE);302;BE;2584144.154;1209260.400;de;2008-07-01
Grossaffoltern;3257;00;Grossaffoltern;303;BE;2594518.222;1213067.065;de;2008-07-01
Ammerzwil BE;3257;01;Grossaffoltern;303;BE;2592706.578;1213574.722;de;2008-07-01
Suberg;3262;00;Grossaffoltern;303;BE;2592474.754;1211579.005;de;2008-07-01
Golaten;3207;02;Kallnach;304;BE;2584659.945;1203983.085;de;2008-07-01
Treiten;3226;00;Kallnach;304;BE;2580111.161;1205531.064;de;2008-07-01
Kallnach;3283;00;Kallnach;304;BE;2583385.740;1207152.569;de;2008-07-01
Niederried b. Kallnach;3283;02;Kallnach;304;BE;2583968.718;1205356.923;de;2008-07-01
Lyss;3250;00;Kappelen;305;BE;2588900.138;1213768.532;de;2008-07-01
Worben;3252;00;Kappelen;305;BE;2589402.929;1215861.006;de;2008-07-01
Kappelen;3273;00;Kappelen;305;BE;2587773.720;1213863.252;de;2008-07-01
Studen BE;2557;00;Lyss;306;BE;2590663.433;1217628.852;de;2008-07-01
Lyss;3250;00;Lyss;306;BE;2590287.708;1213828.588;de;2008-07-01
Busswil BE;3292;00;Lyss;306;BE;2591141.746;1216631.321;de;2011-09-01
Ortschwaben;3042;00;Meikirch;307;BE;2597016.575;1204567.021;de;2008-07-01
Meikirch;3045;00;Meikirch;307;BE;2594955.040;1206470.184;de;2008-07-01
Wahlendorf;3046;00;Meikirch;307;BE;2592518.229;1206494.398;de;2008-07-01
Detligen;3036;00;Radelfingen;309;BE;2587068.515;1204379.801;de;2008-07-01
Radelfingen b. Aarberg;3271;00;Radelfingen;309;BE;2587303.934;1207523.702;de;2008-07-01
Lätti;3053;05;Rapperswil (BE);310;BE;2599411.063;1209730.599;de;2008-07-01
Wengi b. Büren;3251;00;Rapperswil (BE);310;BE;2597991.472;1214285.610;de;2008-07-01
Ruppoldsried;3251;02;Rapperswil (BE);310;BE;2598982.508;1215397.417;de;2008-07-01
Messen;3254;00;Rapperswil (BE);310;BE;2599754.244;1216077.421;de;2008-07-01
Rapperswil BE;3255;00;Rapperswil (BE);310;BE;2598079.600;1212830.245;de;2008-07-01
Dieterswil;3256;00;Rapperswil (BE);310;BE;2599392.446;1211105.357;de;2008-07-01
Bangerten b. Dieterswil;3256;02;Rapperswil (BE);310;BE;2600717.405;1211796.574;de;2008-07-01
Seewil;3256;03;Rapperswil (BE);310;BE;2597863.200;1210572.165;de;2008-07-01
Münchenbuchsee;3053;00;Schüpfen;311;BE;2599041.648;1209117.963;de;2008-07-01
Schüpfen;3054;00;Schüpfen;311;BE;2595348.534;1209383.602;de;2008-07-01
Frieswil;3035;00;Seedorf (BE);312;BE;2588354.330;1204810.704;de;2008-07-01
Wiler b. Seedorf;3266;00;Seedorf (BE);312;BE;2590784.305;1210902.395;de;2008-07-01
Seedorf BE;3267;00;Seedorf (BE);312;BE;2591285.703;1208068.543;de;2008-07-01
Lobsigen;3268;00;Seedorf (BE);312;BE;2589366.155;1207316.118;de;2008-07-01
Aarberg;3270;00;Seedorf (BE);312;BE;2587664.096;1208911.505;de;2008-07-01
Aarwangen;4912;00;Aarwangen;321;BE;2624878.096;1231804.941;de;2008-07-01
Bützberg;4922;00;Aarwangen;321;BE;2622774.750;1230192.779;de;2008-07-01
Rohrbach;4938;00;Auswil;322;BE;2628274.912;1221287.762;de;2008-07-01
Auswil;4944;00;Auswil;322;BE;2630338.754;1220615.768;de;2008-07-01
Aarwangen;4912;00;Bannwil;323;BE;2623915.290;1232823.754;de;2008-07-01
Bannwil;4913;00;Bannwil;323;BE;2621973.166;1231910.579;de;2008-07-01
Bleienbach;3368;00;Bleienbach;324;BE;2624386.837;1225835.936;de;2008-07-01
Busswil b. Melchnau;4917;02;Busswil bei Melchnau;325;BE;2629726.996;1226369.585;de;2008-07-01
Gondiswil;4955;00;Gondiswil;326;BE;2632477.378;1221808.569;de;2008-07-01
Langenthal;4900;00;Langenthal;329;BE;2627003.644;1229684.331;de;2008-07-01
Untersteckholz;4916;00;Langenthal;329;BE;2630709.413;1228405.291;de;2008-07-01
Obersteckholz;4924;00;Langenthal;329;BE;2629320.201;1227857.468;de;2008-07-01
Bleienbach;3368;00;Lotzwil;331;BE;2624635.226;1226604.791;de;2008-07-01
Lotzwil;4932;00;Lotzwil;331;BE;2626762.323;1226475.853;de;2008-07-01
Reisiswil;4919;00;Madiswil;332;BE;2629879.873;1223251.266;de;2008-07-01
Gutenburg;4932;02;Madiswil;332;BE;2627448.578;1225771.210;de;2008-07-01
Madiswil;4934;00;Madiswil;332;BE;2627531.200;1223549.393;de;2008-07-01
Leimiswil;4935;00;Madiswil;332;BE;2625168.189;1222614.991;de;2008-07-01
Kleindietwil;4936;00;Madiswil;332;BE;2626700.389;1221183.842;de;2008-07-01
Melchnau;4917;00;Melchnau;333;BE;2631635.190;1225260.135;de;2008-07-01
Grossdietwil;6146;00;Melchnau;333;BE;2633173.362;1224021.653;de;2008-07-01
Altbüron;6147;00;Melchnau;333;BE;2633237.318;1225451.576;de;2008-07-01
Oeschenbach;4943;00;Oeschenbach;335;BE;2623238.574;1217741.050;de;2008-07-01
Reisiswil;4919;00;Reisiswil;336;BE;2630576.535;1223426.877;de;2008-07-01
Roggwil BE;4914;00;Roggwil (BE);337;BE;2628581.574;1231591.457;de;2008-07-01
Rohrbach;4938;00;Rohrbach;338;BE;2628103.227;1220309.035;de;2008-07-01
Rohrbachgraben;4938;02;Rohrbachgraben;339;BE;2627819.011;1217768.156;de;2008-07-01
Rütschelen;4933;00;Rütschelen;340;BE;2625223.874;1224664.492;de;2008-07-01
Schwarzhäusern;4911;00;Schwarzhäusern;341;BE;2624770.200;1234106.158;de;2008-07-01
Bützberg;4922;00;Thunstetten;342;BE;2623412.436;1229432.572;de;2008-07-01
Thunstetten;4922;02;Thunstetten;342;BE;2623431.968;1227486.379;de;2008-07-01
Kleindietwil;4936;00;Ursenbach;344;BE;2625945.916;1221948.254;de;2008-07-01
Ursenbach;4937;00;Ursenbach;344;BE;2624547.117;1219810.524;de;2008-07-01
Walterswil BE;4942;00;Ursenbach;344;BE;2624855.536;1218182.893;de;2008-07-01
Oeschenbach;4943;00;Ursenbach;344;BE;2624003.337;1218677.622;de;2008-07-01
Wynau;4923;00;Wynau;345;BE;2627946.136;1233949.647;de;2008-07-01
Bern;3004;00;Bern;351;BE;2601017.917;1203268.995;de;2008-07-01
Bern;3005;00;Bern;351;BE;2600860.329;1198700.153;de;2008-07-01
Bern;3006;00;Bern;351;BE;2602485.440;1199414.545;de;2008-07-01
Bern;3007;00;Bern;351;BE;2599653.537;1198699.279;de;2008-07-01
Bern;3008;00;Bern;351;BE;2598116.743;1199335.273;de;2008-07-01
Bern;3010;00;Bern;351;BE;2598942.156;1199577.405;de;2008-07-01
Bern;3011;00;Bern;351;BE;2600709.952;1199572.713;de;2008-07-01
Bern;3012;00;Bern;351;BE;2599040.684;1201167.488;de;2008-07-01
Bern;3013;00;Bern;351;BE;2600576.095;1200569.895;de;2008-07-01
Bern;3014;00;Bern;351;BE;2601505.272;1201236.046;de;2008-07-01
Bern;3015;00;Bern;351;BE;2603515.886;1198792.077;de;2008-07-01
Bern;3018;00;Bern;351;BE;2596229.026;1198089.777;de;2008-07-01
Bern;3019;00;Bern;351;BE;2593094.244;1197769.533;de;2008-07-01
Bern;3020;00;Bern;351;BE;2591033.132;1198450.141;de;2008-07-01
Bern;3027;00;Bern;351;BE;2596061.953;1200486.923;de;2008-07-01
Hinterkappelen;3032;00;Bern;351;BE;2596304.808;1201352.889;de;2008-07-01
Herrenschwanden;3037;00;Bern;351;BE;2599346.840;1202322.898;de;2008-07-01
Worblaufen;3048;00;Bern;351;BE;2602271.336;1202376.554;de;2008-07-01
Ittigen;3063;00;Bern;351;BE;2602547.297;1201920.160;de;2008-07-01
Ostermundigen;3072;00;Bern;351;BE;2603108.527;1201855.192;de;2008-07-01
Gümligen;3073;00;Bern;351;BE;2604130.437;1198619.369;de;2008-07-01
Wabern;3084;00;Bern;351;BE;2600675.670;1197827.937;de;2008-07-01
Liebefeld;3097;00;Bern;351;BE;2598904.277;1198142.952;de;2008-07-01
Niederwangen b. Bern;3172;00;Bern;351;BE;2595613.318;1197741.189;de;2008-07-01
Bolligen;3065;00;Bolligen;352;BE;2605303.259;1203675.015;de;2008-07-01
Stettlen;3066;00;Bolligen;352;BE;2606884.624;1201279.434;de;2008-07-01
Krauchthal;3326;00;Bolligen;352;BE;2607390.576;1205064.144;de;2008-07-01
Bremgarten b. Bern;3047;00;Bremgarten bei Bern;353;BE;2599803.919;1202895.428;de;2008-07-01
Herrenschwanden;3037;00;Kirchlindach;354;BE;2598567.386;1202904.694;de;2008-07-01
Kirchlindach;3038;00;Kirchlindach;354;BE;2598207.168;1205417.381;de;2008-07-01
Ortschwaben;3042;00;Kirchlindach;354;BE;2597721.710;1204149.379;de;2008-07-01
Bern;3007;00;Köniz;355;BE;2599822.199;1198066.771;de;2008-07-01
Wabern;3084;00;Köniz;355;BE;2601085.716;1196731.983;de;2008-07-01
Spiegel b. Bern;3095;00;Köniz;355;BE;2599668.845;1197099.994;de;2008-07-01
Liebefeld;3097;00;Köniz;355;BE;2598660.969;1197754.257;de;2008-07-01
Köniz;3098;00;Köniz;355;BE;2599792.374;1197685.958;de;2008-07-01
Köniz;3098;00;Köniz;355;BE;2599689.740;1195748.012;de;2008-07-01
Schliern b. Köniz;3098;01;Köniz;355;BE;2599144.026;1195009.018;de;2008-07-01
Gasel;3144;00;Köniz;355;BE;2598129.043;1193866.236;de;2008-07-01
Niederscherli;3145;00;Köniz;355;BE;2596614.522;1192689.465;de;2008-07-01
Mittelhäusern;3147;00;Köniz;355;BE;2594877.302;1191293.850;de;2008-07-01
Niederwangen b. Bern;3172;00;Köniz;355;BE;2595389.080;1196755.248;de;2008-07-01
Oberwangen b. Bern;3173;00;Köniz;355;BE;2593706.570;1195647.065;de;2008-07-01
Thörishaus;3174;00;Köniz;355;BE;2593104.962;1194375.794;de;2008-07-01
Gümligen;3073;00;Muri bei Bern;356;BE;2605217.279;1198228.189;de;2008-07-01
Muri b. Bern;3074;00;Muri bei Bern;356;BE;2603635.902;1197279.796;de;2008-07-01
Worb;3076;00;Muri bei Bern;356;BE;2606006.937;1199020.623;de;2008-07-01
Zimmerwald;3086;00;Oberbalm;357;BE;2600017.542;1191870.287;de;2008-07-01
Oberbalm;3096;00;Oberbalm;357;BE;2597864.148;1190423.879;de;2008-07-01
Niederscherli;3145;00;Oberbalm;357;BE;2596126.356;1192266.539;de;2008-07-01
Mittelhäusern;3147;00;Oberbalm;357;BE;2596007.155;1189511.072;de;2008-07-01
Stettlen;3066;00;Stettlen;358;BE;2606383.906;1200213.911;de;2008-07-01
Boll;3067;00;Stettlen;358;BE;2607481.659;1201331.181;de;2008-07-01
Worb;3076;00;Stettlen;358;BE;2606382.305;1199144.537;de;2008-07-01
Stettlen;3066;00;Vechigen;359;BE;2608418.098;1202625.185;de;2008-07-01
Boll;3067;00;Vechigen;359;BE;2608650.509;1202061.357;de;2008-07-01
Utzigen;3068;00;Vechigen;359;BE;2611185.929;1201716.667;de;2008-07-01
Worb;3076;00;Vechigen;359;BE;2607203.680;1199037.783;de;2008-07-01
Bigenthal;3513;00;Vechigen;359;BE;2613220.974;1202098.387;de;2008-07-01
Hinterkappelen;3032;00;Wohlen bei Bern;360;BE;2595394.602;1201955.845;de;2008-07-01
Wohlen b. Bern;3033;00;Wohlen bei Bern;360;BE;2593450.126;1202687.228;de;2008-07-01
Murzelen;3034;00;Wohlen bei Bern;360;BE;2590332.616;1202899.377;de;2008-07-01
Frieswil;3035;00;Wohlen bei Bern;360;BE;2588921.671;1204559.375;de;2008-07-01
Detligen;3036;00;Wohlen bei Bern;360;BE;2588298.275;1202799.713;de;2008-07-01
Herrenschwanden;3037;00;Wohlen bei Bern;360;BE;2597717.379;1202131.333;de;2008-07-01
Ortschwaben;3042;00;Wohlen bei Bern;360;BE;2596208.517;1204980.269;de;2008-07-01
Uettligen;3043;00;Wohlen bei Bern;360;BE;2595799.480;1203938.837;de;2008-07-01
Innerberg;3044;02;Wohlen bei Bern;360;BE;2590444.394;1205009.688;de;2008-07-01
Meikirch;3045;00;Wohlen bei Bern;360;BE;2595599.702;1205504.005;de;2008-07-01
Säriswil;3049;00;Wohlen bei Bern;360;BE;2592102.472;1204585.097;de;2008-07-01
Zollikofen;3052;00;Zollikofen;361;BE;2601116.861;1205068.372;de;2008-07-01
Worblaufen;3048;00;Ittigen;362;BE;2601752.797;1202898.529;de;2008-07-01
Ittigen;3063;00;Ittigen;362;BE;2603042.024;1203270.451;de;2008-07-01
Ittigen;3063;00;Ostermundigen;363;BE;2603568.848;1202058.475;de;2008-07-01
Bolligen;3065;00;Ostermundigen;363;BE;2604128.902;1201724.129;de;2008-07-01
Stettlen;3066;00;Ostermundigen;363;BE;2605505.381;1201041.679;de;2008-07-01
Ostermundigen;3072;00;Ostermundigen;363;BE;2604100.672;1200268.389;de;2008-07-01
Gümligen;3073;00;Ostermundigen;363;BE;2605417.160;1200074.547;de;2008-07-01
Biel/Bienne;2502;00;Biel/Bienne;371;BE;2585367.237;1221241.193;multiple;2008-07-01
Biel/Bienne;2503;00;Biel/Bienne;371;BE;2586337.721;1220093.983;multiple;2008-07-01
Biel/Bienne;2504;00;Biel/Bienne;371;BE;2588171.281;1222829.613;multiple;2008-07-01
Biel/Bienne;2505;00;Biel/Bienne;371;BE;2583148.837;1220325.756;multiple;2008-07-01
Magglingen/Macolin;2532;00;Biel/Bienne;371;BE;2582895.192;1220798.686;multiple;2008-07-01
Magglingen/Macolin;2532;00;Evilard;372;BE;2582857.716;1221326.395;multiple;2008-07-01
Evilard;2533;00;Evilard;372;BE;2584531.019;1222192.503;fr;2008-07-01
Arch;3296;00;Arch;381;BE;2599543.352;1224282.843;de;2008-07-01
Studen BE;2557;00;Büetigen;382;BE;2590982.805;1217870.469;de;2008-07-01
Büetigen;3263;00;Büetigen;382;BE;2592071.921;1217240.298;de;2008-07-01
Büren an der Aare;3294;00;Büren an der Aare;383;BE;2594749.795;1220389.874;de;2008-07-01
Diessbach b. Büren;3264;00;Diessbach bei Büren;385;BE;2594408.586;1217343.887;de;2008-07-01
Dotzigen;3293;00;Dotzigen;386;BE;2593195.265;1219773.671;de;2008-07-01
Büren an der Aare;3294;00;Dotzigen;386;BE;2593640.329;1221011.811;de;2008-07-01
Lengnau BE;2543;00;Lengnau (BE);387;BE;2594421.967;1225746.625;de;2008-07-01
Leuzigen;3297;00;Leuzigen;388;BE;2602310.836;1224455.025;de;2008-07-01
Meienried;3294;02;Meienried;389;BE;2592596.093;1220679.465;de;2008-07-01
Meinisberg;2554;00;Meinisberg;390;BE;2593563.458;1223431.968;de;2008-07-01
Oberwil b. Büren;3298;00;Oberwil bei Büren;391;BE;2598090.548;1220135.872;de;2008-07-01
Pieterlen;2542;00;Pieterlen;392;BE;2591602.882;1224980.402;de;2008-07-01
Rüti b. Büren;3295;00;Rüti bei Büren;393;BE;2598049.834;1222334.431;de;2008-07-01
Wengi b. Büren;3251;00;Wengi;394;BE;2596469.595;1214925.746;de;2008-07-01
Grossaffoltern;3257;00;Wengi;394;BE;2595873.414;1214398.001;de;2008-07-01
Aefligen;3426;00;Aefligen;401;BE;2608357.516;1216038.823;de;2008-07-01
Alchenstorf;3473;00;Alchenstorf;402;BE;2615528.264;1219118.552;de;2008-07-01
Bäriswil BE;3323;00;Bäriswil;403;BE;2607015.088;1207217.390;de;2008-07-01
Burgdorf;3400;00;Burgdorf;404;BE;2613615.899;1211853.148;de;2008-07-01
Kaltacker;3413;00;Burgdorf;404;BE;2615873.284;1213097.323;de;2008-07-01
Oberburg;3414;00;Burgdorf;404;BE;2614642.744;1209792.610;de;2008-07-01
Wynigen;3472;00;Burgdorf;404;BE;2615635.420;1214568.380;de;2008-07-01
Kirchberg BE;3422;00;Ersigen;405;BE;2611414.424;1215746.620;de;2008-07-01
Ersigen;3423;00;Ersigen;405;BE;2611815.966;1216667.731;de;2008-07-01
Niederösch;3424;00;Ersigen;405;BE;2613825.225;1218182.190;de;2008-07-01
Oberösch;3424;02;Ersigen;405;BE;2613220.817;1217167.853;de;2008-07-01
Koppigen;3425;00;Ersigen;405;BE;2612940.194;1219250.118;de;2008-07-01
Rumendingen;3472;02;Ersigen;405;BE;2614428.965;1217497.137;de;2008-07-01
Hasle b. Burgdorf;3415;01;Hasle bei Burgdorf;406;BE;2615357.252;1206976.765;de;2008-07-01
Schafhausen im Emmental;3415;02;Hasle bei Burgdorf;406;BE;2615696.816;1204461.706;de;2008-07-01
Biembach im Emmental;3419;00;Hasle bei Burgdorf;406;BE;2613217.311;1204707.250;de;2008-07-01
Lützelflüh-Goldbach;3432;00;Hasle bei Burgdorf;406;BE;2617491.345;1204920.513;de;2008-07-01
Schwanden im Emmental;3433;00;Hasle bei Burgdorf;406;BE;2618660.923;1203882.036;de;2008-07-01
Bigenthal;3513;00;Hasle bei Burgdorf;406;BE;2613654.515;1203442.841;de;2008-07-01
Heimiswil;3412;00;Heimiswil;407;BE;2617038.895;1211434.784;de;2008-07-01
Kaltacker;3413;00;Heimiswil;407;BE;2618869.908;1213563.399;de;2008-07-01
Rüegsauschachen;3415;03;Heimiswil;407;BE;2615892.041;1208738.481;de;2008-07-01
Affoltern im Emmental;3416;00;Heimiswil;407;BE;2621165.948;1214575.464;de;2008-07-01
Rüegsbach;3418;00;Heimiswil;407;BE;2619671.824;1212182.527;de;2008-07-01
Wynigen;3472;00;Heimiswil;407;BE;2621061.805;1215234.045;de;2008-07-01
Hellsau;3429;03;Hellsau;408;BE;2615979.866;1221356.937;de;2008-07-01
Hindelbank;3324;00;Hindelbank;409;BE;2608089.295;1210324.419;de;2008-07-01
Mötschwil;3324;02;Hindelbank;409;BE;2609841.972;1210754.527;de;2008-07-01
Hettiswil b. Hindelbank;3325;00;Hindelbank;409;BE;2610292.032;1209854.902;de;2008-07-01
Lyssach;3421;00;Hindelbank;409;BE;2610766.519;1211129.814;de;2008-07-01
Höchstetten;3429;02;Höchstetten;410;BE;2614777.173;1221504.721;de;2008-07-01
Kernenried;3309;00;Kernenried;411;BE;2608548.428;1213087.631;de;2008-07-01
Burgdorf;3400;00;Kirchberg (BE);412;BE;2614240.284;1213495.568;de;2008-07-01
Kirchberg BE;3422;00;Kirchberg (BE);412;BE;2612367.116;1214167.074;de;2008-07-01
Koppigen;3425;00;Koppigen;413;BE;2612624.398;1220310.920;de;2008-07-01
Hettiswil b. Hindelbank;3325;00;Krauchthal;414;BE;2608951.004;1208287.938;de;2008-07-01
Krauchthal;3326;00;Krauchthal;414;BE;2609707.823;1205898.865;de;2008-07-01
Hindelbank;3324;00;Lyssach;415;BE;2609006.659;1211655.536;de;2008-07-01
